City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,waitangi,-43.9535,-176.5597,284.72,81,100,2.24,NZ,2023-10-13 05:22:44
1,adamstown,-25.066,-130.1015,294.14,68,93,4.74,PN,2023-10-13 05:22:45
2,yellowknife,62.456,-114.3525,280.6,100,100,3.09,CA,2023-10-13 05:22:46
3,uwajima,33.2238,132.56,295.33,58,50,2.38,JP,2023-10-13 05:22:46
4,blackmans bay,-43.0167,147.3167,288.22,54,82,1.34,AU,2023-10-13 05:22:47
5,wuxi,31.5689,120.2886,291.45,87,100,3.54,CN,2023-10-13 05:22:48
6,illizi,26.4833,8.4667,293.04,28,19,4.3,DZ,2023-10-13 05:22:48
7,fabens,31.5023,-106.1586,298.77,46,0,9.26,US,2023-10-13 05:22:49
8,vanimo,-2.6741,141.3028,302.04,80,74,3.43,PG,2023-10-13 05:22:50
9,port-aux-francais,-49.35,70.2167,276.19,76,93,9.45,TF,2023-10-13 05:22:51
10,anadyr,64.75,177.4833,276.43,86,75,6.0,RU,2023-10-13 05:22:51
11,udachny,66.4167,112.4,266.18,72,97,1.44,RU,2023-10-13 05:22:52
12,praia da vitoria,38.7333,-27.0667,291.35,94,20,1.75,PT,2023-10-13 05:22:53
13,bethel,41.3712,-73.414,286.08,82,20,0.45,US,2023-10-13 05:22:53
14,thompson,55.7435,-97.8558,276.24,93,0,1.54,CA,2023-10-13 05:22:54
15,vila velha,-20.3297,-40.2925,297.12,81,0,3.6,BR,2023-10-13 05:22:55
16,cannonvale,-20.2833,148.7,297.81,53,12,5.48,AU,2023-10-13 05:22:55
17,tari,12.4086,4.4914,299.73,50,45,2.86,NG,2023-10-13 05:22:56
18,as sulayyil,20.4607,45.5779,301.29,19,1,2.74,SA,2023-10-13 05:22:57
19,longyearbyen,78.2186,15.6401,272.06,74,75,4.12,SJ,2023-10-13 05:22:58
20,qaqortoq,60.7167,-46.0333,275.31,68,93,2.41,GL,2023-10-13 05:22:58
21,papatowai,-46.5619,169.4708,290.2,49,24,5.05,NZ,2023-10-13 05:22:59
22,georgetown,5.4112,100.3354,306.11,74,20,4.12,MY,2023-10-13 05:23:00
23,tiksi,71.6872,128.8694,268.69,96,100,2.37,RU,2023-10-13 05:23:00
24,mrakovo,52.7161,56.6244,278.24,53,100,7.39,RU,2023-10-13 05:23:01
25,buta,2.7858,24.73,294.35,98,43,0.5,CD,2023-10-13 05:23:02
26,ndele,8.4109,20.6473,295.84,90,89,0.43,CF,2023-10-13 05:23:02
27,ixtapa,20.7,-105.2,297.72,100,40,2.06,MX,2023-10-13 05:23:03
28,ust'-kulom,61.6864,53.6902,277.2,97,100,4.02,RU,2023-10-13 05:23:04
29,taroa,8.7058,171.2275,300.68,77,95,2.05,MH,2023-10-13 05:23:04
30,pisco,-13.7,-76.2167,291.18,82,0,2.57,PE,2023-10-13 05:23:05
31,mogadishu,2.0371,45.3438,300.33,78,22,3.46,SO,2023-10-13 05:19:16
32,ushuaia,-54.8,-68.3,278.96,81,40,12.86,AR,2023-10-13 05:23:06
33,mezhdurechenskiy,59.6,65.9333,276.65,89,100,2.68,RU,2023-10-13 05:23:07
34,karratha,-20.7377,116.8463,309.91,15,1,6.82,AU,2023-10-13 05:23:08
35,grytviken,-54.2811,-36.5092,269.71,81,96,2.28,GS,2023-10-13 05:23:09
36,bilibino,68.0546,166.4372,266.46,89,100,1.63,RU,2023-10-13 05:23:09
37,jamestown,42.097,-79.2353,281.32,88,0,3.6,US,2023-10-13 05:18:59
38,hawaiian paradise park,19.5933,-154.9731,297.88,94,100,1.54,US,2023-10-13 05:23:11
39,utrik,11.2278,169.8474,301.35,77,45,5.0,MH,2023-10-13 05:21:15
40,quzhou,28.9594,118.8686,296.43,65,86,1.65,CN,2023-10-13 05:23:13
41,gretna,29.9147,-90.054,294.26,75,100,2.57,US,2023-10-13 05:23:13
42,port elizabeth,-33.918,25.5701,289.44,92,40,8.75,ZA,2023-10-13 05:23:14
43,yuxi,24.355,102.5422,291.08,88,99,1.55,CN,2023-10-13 05:23:15
44,hamilton,39.1834,-84.5333,289.23,74,0,1.54,US,2023-10-13 05:22:44
45,alofi,-19.0595,-169.9187,298.09,78,85,4.12,NU,2023-10-13 05:23:16
46,iqaluit,63.7506,-68.5145,272.0,86,75,2.06,CA,2023-10-13 05:23:17
47,tirumullaivasal,11.2333,79.8333,303.36,62,53,2.49,IN,2023-10-13 05:23:18
48,west island,-12.1568,96.8225,301.14,69,40,8.23,CC,2023-10-13 05:23:18
49,port mathurin,-19.6833,63.4167,296.31,79,35,4.05,MU,2023-10-13 05:23:19
50,cabo san lucas,22.8909,-109.9124,299.68,73,0,4.47,MX,2023-10-13 05:23:20
51,badger,64.8,-147.5333,273.1,67,75,3.6,US,2023-10-13 05:23:21
52,priozersk,61.0393,30.1291,279.23,88,53,7.14,RU,2023-10-13 05:23:21
53,inhambane,-23.865,35.3833,298.65,77,55,6.25,MZ,2023-10-13 05:23:23
54,puerto natales,-51.7236,-72.4875,277.25,96,60,3.07,CL,2023-10-13 05:23:24
55,la passe,45.5549,-0.8967,290.36,50,15,5.8,FR,2023-10-13 05:23:25
56,klyuchi,52.2667,79.1667,282.31,42,23,2.59,RU,2023-10-13 05:23:25
57,ust-nera,64.5667,143.2,261.05,95,97,2.24,RU,2023-10-13 05:23:26
58,dwarka,22.2394,68.9678,301.59,67,1,2.77,IN,2023-10-13 05:23:27
59,naze,28.3667,129.4833,299.66,71,42,4.65,JP,2023-10-13 05:23:27
60,jiquipilas,16.6667,-93.65,294.32,97,59,1.62,MX,2023-10-13 05:23:28
61,christchurch,-43.5333,172.6333,292.22,42,100,9.77,NZ,2023-10-13 05:23:29
62,laojunmiao,39.8333,97.7333,287.0,20,7,3.38,CN,2023-10-13 05:23:29
63,avarua,-21.2078,-159.775,296.18,83,75,1.54,CK,2023-10-13 05:23:30
64,nagqu,31.5,92.0,276.68,13,0,3.12,CN,2023-10-13 05:23:31
65,dunedin,-45.8742,170.5036,290.29,52,97,4.23,NZ,2023-10-13 05:23:31
66,coxim,-18.5067,-54.76,301.32,51,69,3.0,BR,2023-10-13 05:23:32
67,iskateley,67.6803,53.1512,274.27,76,100,4.02,RU,2023-10-13 05:23:33
68,uturoa,-16.7333,-151.4333,299.11,76,11,7.18,PF,2023-10-13 05:23:34
69,kavaratti,10.5669,72.642,301.21,73,88,1.42,IN,2023-10-13 05:23:35
70,chibougamau,49.9168,-74.3659,278.94,93,75,2.06,CA,2023-10-13 05:19:04
71,savanna-la-mar,18.219,-78.1332,302.12,85,78,1.98,JM,2023-10-13 05:23:36
72,mahajanga,-15.7167,46.3167,302.16,74,20,2.57,MG,2023-10-13 05:23:37
73,bengkulu,-3.8004,102.2655,300.76,77,80,5.4,ID,2023-10-13 05:23:38
74,mount isa,-20.7333,139.5,308.02,14,65,4.12,AU,2023-10-13 05:23:38
75,nova sintra,14.8667,-24.7167,296.84,78,100,0.19,CV,2023-10-13 05:23:39
76,mejit,10.2753,170.8646,301.21,77,95,3.85,MH,2023-10-13 05:23:40
77,hirara,24.8,125.2833,302.07,61,40,5.14,JP,2023-10-13 05:23:41
78,ippy,6.2679,21.2247,293.97,96,100,1.52,CF,2023-10-13 05:23:41
79,kill devil hills,36.0307,-75.676,293.14,79,0,2.06,US,2023-10-13 05:21:53
80,crane,31.3974,-102.3501,297.44,30,0,2.93,US,2023-10-13 05:22:26
81,kerikeri,-35.2268,173.9474,290.88,74,88,1.34,NZ,2023-10-13 05:20:23
82,ola,59.5833,151.2833,274.9,40,3,2.49,RU,2023-10-13 05:23:44
83,valparaiso,-33.0393,-71.6273,285.45,84,0,3.86,CL,2023-10-13 05:23:44
84,vorgashor,67.5833,63.95,273.56,64,100,6.41,RU,2023-10-13 05:22:27
85,harstad,68.799,16.5293,275.46,93,85,3.13,NO,2023-10-13 05:23:46
86,severomorsk,69.0689,33.4162,274.37,78,100,7.54,RU,2023-10-13 05:23:23
87,cabedelo,-6.9811,-34.8339,298.52,84,8,5.59,BR,2023-10-13 05:23:47
88,constantia,44.1833,28.65,284.65,71,14,4.07,RO,2023-10-13 05:22:27
89,siguiri,11.6667,-9.5,295.68,88,100,0.73,GN,2023-10-13 05:23:48
90,bollnas,61.3482,16.3946,276.82,76,82,1.34,SE,2023-10-13 05:23:49
